name,phone,city,district,taluka,category,address,rating,reviews,website,maps_link,whatsappStatus,contactedAt,lastMessage,notes
Ashish Tattu's Excellence Classes,9029349483,Ahmednagar,Ahmednagar,,Spoken English classes,"Varsha Heights, Gulmohar Rd, opposite BJP Office, Savedi, Ahilyanagar, Maharashtra 414003",5.0,53,,https://www.google.com/maps/place/Ashish+Tattu%27s+Excellence+Classes/data=!4m7!3m6!1s0x3bdcba7db6227257:0x750996340347862a!8m2!3d19.1215416!4d74.7368891!16s%2Fg%2F11g892r6j3!19sChIJV3Iitn263DsRKoZHAzSWCXU?authuser=0&hl=en&rclk=1,not_contacted,,,
Atharva Maths Classes,9890664006,Ahmednagar,Ahmednagar,,1st to 12th classes,"5405, Lonar Lane, Teli Khunt Rd, near Y.Prakash Tailors, Ahilyanagar, Maharashtra 414001",5.0,37,,https://www.google.com/maps/place/Atharva+Maths+Classes/data=!4m7!3m6!1s0x3bdcb114a03b1689:0x9a72d639aa5cf72e!8m2!3d19.0979087!4d74.7379532!16s%2Fg%2F11xlb1d_0m!19sChIJiRY7oBSx3DsRLvdcqjnWcpo?authuser=0&hl=en&rclk=1,not_contacted,,,
Bedekar's English Class,9890903000,Ahmednagar,Ahmednagar,,Spoken English classes,"3PVP GHV, Ghumare Lane, Nalegaon, Ahilyanagar, Maharashtra 414001",4.9,8,,https://www.google.com/maps/place/Bedekar%27s+English+Class/data=!4m7!3m6!1s0x3bdcb061a8ff2eb1:0x7d99f7f6f72803f7!8m2!3d19.0938578!4d74.7364277!16s%2Fg%2F11fxw8s715!19sChIJsS7_qGGw3DsR9wMo9_b3mX0?authuser=0&hl=en&rclk=1,not_contacted,,,
Best NEET Pcb Science Academy Ambition Ahmednagar,9850934924,Ahmednagar,Ahmednagar,,NEET coaching,"Herambha Colony, Savedi, Ahilyanagar, Maharashtra 414003",4.4,15,,https://www.google.com/maps/place/Best+NEET+%7C+PCB+%7C+Science+academy+%7C+Ambition+%7C+Ahmednagar/data=!4m7!3m6!1s0x3bdcbbe4dad4e9e9:0x3de042d96d182cc4!8m2!3d19.1273767!4d74.732874!16s%2Fg%2F11rj620g16!19sChIJ6enU2uS73DsRxCwYbdlC4D0?authuser=0&hl=en&rclk=1,not_contacted,,,
Catalyser,8237658801,Ahmednagar,Ahmednagar,,1st to 12th classes,"Sai Samarth heights, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",5.0,58,,https://www.google.com/maps/place/Catalyser/data=!4m7!3m6!1s0x3bdcbb9cab3b04bf:0xfa66c19ab90fa144!8m2!3d19.1234421!4d74.7301836!16s%2Fg%2F11swzjdbff!19sChIJvwQ7q5y73DsRRKEPuZrBZvo?authuser=0&hl=en&rclk=1,not_contacted,,,
Colours Drawing Potrait Rangoli And Mahendi Academy,9890351213,Ahmednagar,Ahmednagar,,SSC coaching,"Shivmangal apparent, nearGulmohar police Chowk, Gulmohar Rd, Sawli Housing Society, Savedi, Ahilyanagar, Maharashtra 414003",4.9,89,,"https://www.google.com/maps/place/Colours+Drawing,Potrait+Rangoli+and+Mahendi+Academy/data=!4m7!3m6!1s0x3bdcba9c9e48b2cf:0x96710d5043a8e74b!8m2!3d19.1189283!4d74.7480516!16s%2Fg%2F11c2pg17ck!19sChIJz7JInpy63DsRS-eoQ1ANcZY?authuser=0&hl=en&rclk=1",not_contacted,,,
Dambelkar's Spoken English Classes,7272886565,Ahmednagar,Ahmednagar,,1st to 12th classes,"Amey Apt, Balikashram Rd, near Ganpati Temple, Sudke Mala, Ahilyanagar, Maharashtra 414001",5.0,140,,https://www.google.com/maps/place/Dambelkar%27s+Spoken+English+Classes/data=!4m7!3m6!1s0x3bdcb1dcaf43fa15:0xa498a096ae0ba5bf!8m2!3d19.1072283!4d74.7301741!16s%2Fg%2F11n05jsl50!19sChIJFfpDr9yx3DsRv6ULrpagmKQ?authuser=0&hl=en&rclk=1,not_contacted,,,
Darkundes Science Classes,9096302244,Ahmednagar,Ahmednagar,,1st to 12th classes,"Bank Colony, Kedgaon, Ahilyanagar, Maharashtra 414005",5.0,48,,https://www.google.com/maps/place/Darkundes+Science+Classes/data=!4m7!3m6!1s0x3bdcb127f90d7467:0x2f86ed0580a534ad!8m2!3d19.0637828!4d74.6990946!16s%2Fg%2F11g027rf5b!19sChIJZ3QN-Sex3DsRrTSlgAXthi8?authuser=0&hl=en&rclk=1,not_contacted,,,
Durekar Science Academy,9595953085,Ahmednagar,Ahmednagar,,1st to 12th classes,"Sona Nagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,162,,https://www.google.com/maps/place/Durekar+Science+Academy/data=!4m7!3m6!1s0x3bdcba62b5ee2a59:0xb853b86b5e0158b8!8m2!3d19.1252293!4d74.7328691!16s%2Fg%2F11td8c60pv!19sChIJWSrutWK63DsRuFgBXmu4U7g?authuser=0&hl=en&rclk=1,not_contacted,,,
Fca Academy,9422227464,Ahmednagar,Ahmednagar,,1st to 12th classes,"Lodha Heights, 1st, 2nd & 3rd Floors, Navi Peth Rd, Opp Ram Mandir, Nalegaon, Ahilyanagar, Maharashtra 414001",4.6,26,,https://www.google.com/maps/place/FCA+Academy/data=!4m7!3m6!1s0x3bdcb063d0f77fc5:0xc44451e61f7a497f!8m2!3d19.0967755!4d74.7373284!16s%2Fg%2F11hbg8pk9d!19sChIJxX_30GOw3DsRf0l6H-ZRRMQ?authuser=0&hl=en&rclk=1,not_contacted,,,
G K Academy,9850429897,Ahmednagar,Ahmednagar,,NEET coaching,"2nd Floor, Aadarsh Paramedical Building, near Chandukaka Saraf, Maliwada, Ahilyanagar, Maharashtra 414001",4.6,13,,https://www.google.com/maps/place/G+K+ACADEMY/data=!4m7!3m6!1s0x3bdcb1b93886373b:0xc04061b65d946ad2!8m2!3d19.0894785!4d74.7383938!16s%2Fg%2F11vwwx_mc5!19sChIJOzeGOLmx3DsR0mqUXbZhQMA?authuser=0&hl=en&rclk=1,not_contacted,,,
Gawande Maths Classes,9955352323,Ahmednagar,Ahmednagar,,NEET coaching,"Lendkar Mala, Balikashram Rd, opposite New Arts College Gate, Bagade Mala, Ahilyanagar, Maharashtra 414001",4.5,31,,https://www.google.com/maps/place/Gawande+Maths+Classes/data=!4m7!3m6!1s0x3bdcb0625bd6f1e1:0xac93ca03b8317d34!8m2!3d19.1044228!4d74.7303813!16s%2Fg%2F11g6ypbh0k!19sChIJ4fHWW2Kw3DsRNH0xuAPKk6w?authuser=0&hl=en&rclk=1,not_contacted,,,
Ghonse Maths Academy,9762659465,Ahmednagar,Ahmednagar,,NEET coaching,"Savedi, Ahilyanagar, Maharashtra 414003",4.4,162,,https://www.google.com/maps/place/Ghonse+Maths+Academy/data=!4m7!3m6!1s0x3bdcba7dc83d4fef:0x4502403798ef6b1d!8m2!3d19.1203002!4d74.7314275!16s%2Fg%2F1hm2vhkzv!19sChIJ7089yH263DsRHWvvmDdAAkU?authuser=0&hl=en&rclk=1,not_contacted,,,
Grace Music Academy,9890978997,Ahmednagar,Ahmednagar,Ahmednagar,Music Classes,"Don Bosco Colony, Savedi, Ahilyanagar, Maharashtra 414003",5.0,2,,"https://www.google.com/maps/place/Grace+Music+Academy/@19.1438811,74.7194359,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdcba44daaaaaab:0x9c6c42824da94713!8m2!3d19.1438811!4d74.7194359!16s%2Fg%2F11fnh5v714?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",not_contacted,,,
Gurukul Classes,8796763219,Ahmednagar,Ahmednagar,,NEET coaching,"20, Pipeline Rd, Shramik Janta Nagar, Ahilyanagar, Maharashtra 414003",4.8,9,,https://www.google.com/maps/place/Gurukul+classes/data=!4m7!3m6!1s0x3bdcbbe9c59691eb:0xbf35199498f5ec96!8m2!3d19.1268201!4d74.7353565!16s%2Fg%2F11jwjw79sz!19sChIJ65GWxem73DsRluz1mJQZNb8?authuser=0&hl=en&rclk=1,not_contacted,,,
I Can Training Institute Ahilyanagar,8668604127,Ahmednagar,Ahmednagar,,NEET coaching,"Tapovan Rd, near Bade Avenue, near Indo Irish Hospital, Dhavan Vasti, Savedi, Ahilyanagar, Maharashtra 414003",5.0,21,,https://www.google.com/maps/place/I+Can+Training+Institute+Ahilyanagar/data=!4m7!3m6!1s0x3bdcbb1be50cdd4d:0xbcf880ea706d11bd!8m2!3d19.13999!4d74.7419145!16s%2Fg%2F11ywj62zsp!19sChIJTd0M5Ru73DsRvRFtcOqA-Lw?authuser=0&hl=en&rclk=1,not_contacted,,,
J.k. Academy All Subjects Under One Roof,9623685696,Ahmednagar,Ahmednagar,,1st to 12th classes,"Jamkhed Rd, near Army public school, General Vaidya Colony, jakat naka, Darewadi, Maharashtra 414002",4.9,64,,https://www.google.com/maps/place/J.K.+ACADEMY+%28All+subjects+under+one+roof%29/data=!4m7!3m6!1s0x3bdcb154b17c5511:0x449b6e149d5a9b7f!8m2!3d19.0792083!4d74.7713032!16s%2Fg%2F11txjgb67z!19sChIJEVV8sVSx3DsRf5tanRRum0Q?authuser=0&hl=en&rclk=1,not_contacted,,,
Jha S Academy,7875100199,Ahmednagar,Ahmednagar,,1st to 12th classes,"Hari Mala, Ahilyanagar - Solapur Rd, opp. Hariom steel, Wakodi Phata, Darewadi, Maharashtra 414002",4.9,203,,https://www.google.com/maps/place/Jha%E2%80%99s+Academy/data=!4m7!3m6!1s0x3bdcb1b9fc93d263:0x792669bb56376693!8m2!3d19.073753!4d74.7584725!16s%2Fg%2F11sr83sv40!19sChIJY9KT_Lmx3DsRk2Y3VrtpJnk?authuser=0&hl=en&rclk=1,not_contacted,,,
Joshi Physics Classes,9422740495,Ahmednagar,Ahmednagar,,NEET coaching,"4PCJ W8W, Savedi Rd, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",4.4,22,,https://www.google.com/maps/place/Joshi+Physics+Classes/data=!4m7!3m6!1s0x3bdcba7d02922463:0xc19f9c01d39f6f8a!8m2!3d19.1223679!4d74.7308402!16s%2Fg%2F11f093swxq!19sChIJYySSAn263DsRim-f0wGcn8E?authuser=0&hl=en&rclk=1,not_contacted,,,
Kandake Chemistry Academy,9860729992,Ahmednagar,Ahmednagar,,1st to 12th classes,"4PCJ 4FV, New Premdan Hudco, Savedi, Ahilyanagar, Maharashtra 414003",4.7,28,,https://www.google.com/maps/place/Kandake+Chemistry+Academy/data=!4m7!3m6!1s0x3bdcba7db7b885bb:0x5d0690e9b57f239c!8m2!3d19.1203675!4d74.7311564!16s%2Fg%2F11r8_jc6k!19sChIJu4W4t3263DsRnCN_temQBl0?authuser=0&hl=en&rclk=1,not_contacted,,,
Karale Math & B K Physics Academy A.ngar,9923222488,Ahmednagar,Ahmednagar,,1st to 12th classes,"3, Sona Nagar, Prashantnagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,55,,"https://www.google.com/maps/place/Karale+Math+%26+B+K+PHYSICS+ACADEMY,A.NGAR/data=!4m7!3m6!1s0x3bdcba7d31aaa3f7:0x811f3d81922bd59b!8m2!3d19.1241897!4d74.7316935!16s%2Fg%2F11cs5b2w09!19sChIJ96OqMX263DsRm9UrkoE9H4E?authuser=0&hl=en&rclk=1",not_contacted,,,
Kumar Academy Rajiv Sir,9960632811,Ahmednagar,Ahmednagar,,1st to 12th classes,"Jamkhed Rd, General Vaidya Colony, Arun Vaidya Colony, Darewadi, Maharashtra 414002",4.8,25,,https://www.google.com/maps/place/KUMAR+ACADEMY+%28RAJIV+SIR%29/data=!4m7!3m6!1s0x3bdcb1cb30517475:0xf66a7436ac92654a!8m2!3d19.0775!4d74.77274!16s%2Fg%2F11c0xcwpf8!19sChIJdXRRMMux3DsRSmWSrDZ0avY?authuser=0&hl=en&rclk=1,not_contacted,,,
Maths World Academy,7020844450,Ahmednagar,Ahmednagar,,IIT JEE coaching,"Maths World Academy, chowk, Pipeline Rd, opposite to Nakshatra mobile shoppee, Bhistabag, Ahilyanagar, Maharashtra 414003",5.0,26,,https://www.google.com/maps/place/Maths+World+Academy/data=!4m7!3m6!1s0x3bdcbb55217d70a1:0x2d01fb4ce017bd04!8m2!3d19.1292841!4d74.7320018!16s%2Fg%2F11fkdyqj07!19sChIJoXB9IVW73DsRBL0X4Ez7AS0?authuser=0&hl=en&rclk=1,not_contacted,,,
Mtec Spoken English Academy Expert In Spoken English,9226266262,Ahmednagar,Ahmednagar,,Spoken English classes,"Ekvira Chowk, Gawade Mala, Lekha Nagar road, Pipeline Rd, Ahilyanagar, Maharashtra 414003",4.9,42,,https://www.google.com/maps/place/MTEC+SPOKEN+ENGLISH+ACADEMY-+Expert+in+Spoken+English/data=!4m7!3m6!1s0x3bdcbb7b636bdb9b:0x821e9ea7f71ff31e!8m2!3d19.1309943!4d74.744854!16s%2Fg%2F11b6gdm4fy!19sChIJm9trY3u73DsRHvMf96eeHoI?authuser=0&hl=en&rclk=1,not_contacted,,,
Nata Classes In Ahmednagar Rajmudra Design Academy,8805223915,Ahmednagar,Ahmednagar,,NEET coaching,"4PFX 9FV Rajmudra Design Academy, Shilavihar Rd, opposite Isha's Cafe, off Shriram Chowk, Savedi, Ahilyanagar, Maharashtra 414003",4.5,8,,https://www.google.com/maps/place/Nata+Classes+in+Ahmednagar+Rajmudra+Design+Academy/data=!4m7!3m6!1s0x3bdcba6209a6046d:0xcbcb1b5c8cd83d07!8m2!3d19.1234901!4d74.7486578!16s%2Fg%2F11g9dn24np!19sChIJbQSmCWK63DsRBz3YjFwby8s?authuser=0&hl=en&rclk=1,not_contacted,,,
Newton Science Academy,9511798538,Ahmednagar,Ahmednagar,,NEET coaching,"lekha colony, Khoja jamat khana, B-18, near zp school, Govindpura, Mukundnagar, Ahilyanagar, Maharashtra 414001",5.0,5,,https://www.google.com/maps/place/Newton+Science+Academy/data=!4m7!3m6!1s0x3bdcb18fccc870ad:0xfc5a5bd4c33f05ad!8m2!3d19.1077998!4d74.7524054!16s%2Fg%2F11qb3gvpxv!19sChIJrXDIzI-x3DsRrQU_w9RbWvw?authuser=0&hl=en&rclk=1,not_contacted,,,
Onboard English Phonics Class Shital Swapnil Bihani,9370758673,Ahmednagar,Ahmednagar,,Spoken English classes,"Viraj Estate Ramkamal banglow, Tarakpur, Ahilyanagar, Maharashtra 414001",5.0,8,,https://www.google.com/maps/place/Onboard+English+Phonics+class+Shital+Swapnil+Bihani/data=!4m7!3m6!1s0x3bdcb1220558eab7:0x1d802c3e7b211baa!8m2!3d19.1064405!4d74.7355315!16s%2Fg%2F11w1sj5kjy!19sChIJt-pYBSKx3DsRqhshez4sgB0?authuser=0&hl=en&rclk=1,not_contacted,,,
Pol Class,9970415919,Ahmednagar,Ahmednagar,,1st to 12th classes,"Sona Nagar, Savedi, Ahilyanagar, Maharashtra 414003",4.4,50,,https://www.google.com/maps/place/POL+Class/data=!4m7!3m6!1s0x3bdcba62ad1ce1d1:0x4571b15392687a93!8m2!3d19.1247416!4d74.7331799!16s%2Fg%2F11ggphwqv_!19sChIJ0eEcrWK63DsRk3poklOxcUU?authuser=0&hl=en&rclk=1,not_contacted,,,
Prominent Spoken English & Digital Marketing Institute,8600000069,Ahmednagar,Ahmednagar,,Spoken English classes,"Mauli Sankul Rd, near Hotel Nishant Zopadi, Sanmitra Colony, Savedi, Ahilyanagar, Maharashtra 414003",4.5,217,,https://www.google.com/maps/place/PROMINENT+SPOKEN+ENGLISH+%26+DIGITAL+MARKETING+INSTITUTE/data=!4m7!3m6!1s0x3bdcba7f3c5c6a4b:0xbffd89b1cf7ea2ba!8m2!3d19.114889!4d74.729061!16s%2Fg%2F11c2pmpr4z!19sChIJS2pcPH-63DsRuqJ-z7GJ_b8?authuser=0&hl=en&rclk=1,not_contacted,,,
Ramdin Physics Academy,8308667003,Ahmednagar,Ahmednagar,,IIT JEE coaching,"Sona Nagar, Rasane Nagar, Savedi, Ahilyanagar, Maharashtra 414003",4.9,57,,https://www.google.com/maps/place/Ramdin+Physics+Academy/data=!4m7!3m6!1s0x3bdcba7d1f39f007:0x97d4ca2a8423ba02!8m2!3d19.1235483!4d74.7304162!16s%2Fg%2F11fy953dq8!19sChIJB_A5H3263DsRArojhCrK1Jc?authuser=0&hl=en&rclk=1,not_contacted,,,
Sarang Gujarathi's Commerce Academy,8408087676,Ahmednagar,Ahmednagar,,1st to 12th classes,"SARANG GUJARATHI's COMMERCE ACADEMY, Balikashram Rd, opposite to New Arts College's Back Gate, Sudke Mala, Ahilyanagar, Maharashtra 414001",4.6,119,,https://www.google.com/maps/place/Sarang+Gujarathi%27s+Commerce+Academy+-+Main+Branch+%28SGCA%29/data=!4m7!3m6!1s0x3bdcb1eba52137bf:0x9d04d71c5d2f57e8!8m2!3d19.104063!4d74.7303745!16s%2Fg%2F11h7j0bsgw!19sChIJvzchpeux3DsR6FcvXRzXBJ0?authuser=0&hl=en&rclk=1,not_contacted,,,
Sf UPSC NDA Academy,8668437970,Ahmednagar,Ahmednagar,,1st to 12th classes,"1st floor, Gulmohar corner, Professor Colony Chowk Rd, near Swami Samarth school, Savedi, Ahilyanagar, Maharashtra 414003",4.9,37,,https://www.google.com/maps/place/SF+UPSC+NDA+ACADEMY/data=!4m7!3m6!1s0x3bdcbb8e80e9d8b7:0x8f118ffb80a164de!8m2!3d19.1214591!4d74.7341115!16s%2Fg%2F11x5t1vbf7!19sChIJt9jpgI673DsR3mShgPuPEY8?authuser=0&hl=en&rclk=1,not_contacted,,,
Shreee Ganesh Classes,9834768688,Ahmednagar,Ahmednagar,,1st to 12th classes,"Block No-5/4, Nirmal Chamber, Laltaki road, Tarakpur, Ahilyanagar, Maharashtra 414001",5.0,60,,https://www.google.com/maps/place/Shreee+Ganesh+Classes+!/data=!4m7!3m6!1s0x3bdcb06155555555:0xc2c3ca8ce6a03bee!8m2!3d19.1045988!4d74.7363815!16s%2Fg%2F11hbt4tk_7!19sChIJVVVVVWGw3DsR7jug5ozKw8I?authuser=0&hl=en&rclk=1,not_contacted,,,
Swarvihar Sangeet Vidyalay,8767145435,Ahmednagar,Ahmednagar,,Music Classes,"Lal bahadur shastri chauk, Civil Hudco Colony, Ahilyanagar, Maharashtra 414003",5.0,1,,"https://www.google.com/maps/place/Swarvihar+Sangeet+Vidyalay/@19.1108472,74.7328199,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdcb18ac15892cf:0x734f423af40be3ee!8m2!3d19.1108472!4d74.7328199!16s%2Fg%2F11rg6x253d?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",not_contacted,,,
Trill Music Academy Savedi Branch,9890998283,Ahmednagar,Ahmednagar,,Private tuition,"Miskin Mala, 3rd Floor, City Center, Road, Tarakpur Rd, Savedi, Ahilyanagar, Maharashtra 414003",5.0,40,,https://www.google.com/maps/place/Trill+Music+Academy+Savedi+Branch/data=!4m7!3m6!1s0x3bdcb17a25d33825:0xa7684659c866fb7e!8m2!3d19.1122751!4d74.7376343!16s%2Fg%2F11lgqkbq_7!19sChIJJTjTJXqx3DsRfvtmyFlGaKc?authuser=0&hl=en&rclk=1,not_contacted,,,
Yashwant Academy Ahmednagar,8830712688,Ahmednagar,Ahmednagar,,1st to 12th classes,"3PVF 94F, YASHWANT"" Jijaunagar, Nagar-Kalyan Rd, near Shivneri Heights, Shrikrushna Nagar, Samata Nagar, Ahilyanagar, Maharashtra 414001",4.8,8,,https://www.google.com/maps/place/YASHWANT+ACADEMY+AHMEDNAGAR/data=!4m7!3m6!1s0x3bdcb1b137afeaf7:0x708dab1352736d82!8m2!3d19.096698!4d74.7216426!16s%2Fg%2F11j5gymv9m!19sChIJ9-qvN7Gx3DsRgm1zUhOrjXA?authuser=0&hl=en&rclk=1,not_contacted,,,
Gravity Coaching Classes,9860089372,Akole,Ahmednagar,Akole,SSC Board Classes,"Second Floor, Kasat Sankul, Akole naka, Rangargalli, Sangamner, Maharashtra 422605",4.9,64,,"https://www.google.com/maps/place/Gravity+Coaching+Classes/@19.5681931,74.2037096,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdd0143ff523d59:0xa8dedfde89238fce!8m2!3d19.5681931!4d74.2037096!16s%2Fg%2F11jt436ych?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",not_contacted,,,
Pendharkar Classes Rahata NEET IIT JEE MHT CET Foundation Science Commerce 11th & 12th 5th 10th Degree & Diploma Engineering,8805844172,Akole,Ahmednagar,Akole,JEE Coaching,"Pendharkar Classes,Sutar Lane,Sambhaji Chowk, Tal, Rahata, Maharashtra 423107",5.0,22,,"https://www.google.com/maps/place/PENDHARKAR+CLASSES,+RAHATA(NEET%2FIIT%2FJEE%2FMHT-CET%2FFOUNDATION%2FSCIENCE%2FCOMMERCE%2F11TH+%26+12TH%2F5TH-10TH%2FDEGREE+%26+DIPLOMA+ENGINEERING/@19.7159778,74.4813819,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdc59e861cf5537:0x7f2ace36317a32fe!8m2!3d19.7159778!4d74.4813819!16s%2Fg%2F11p0fwnm1y?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",not_contacted,,,
Urja IIT Academy,9970124108,Akole,Ahmednagar,Akole,IIT JEE Classes,"Dhamangaon Road, near Abhinav School, Akole, Maharashtra 422601",4.7,62,,"https://www.google.com/maps/place/Urja+IIT+Academy/@19.5311464,73.999084,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdd096e775f650b:0x6e570e961cfff8be!8m2!3d19.5311464!4d73.999084!16s%2Fg%2F11s8l73pxk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",not_contacted,,,
