business_name,category,phone,whatsapp_phone,rating,reviews,address,city,district,state,website,maps_link
Shree manudevi ice cream parlor,Ice cream shop,+918459796562,+918459796562,5.0,0,"ki hotel ke baju me, Men road chopda, sandip trading ke samne, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Shree+manudevi+ice+cream+parlor/data=!4m7!3m6!1s0x3bd8df380e44d34d:0xbc42c74ae7366ba9!8m2!3d21.2480169!4d75.2970885!16s%2Fg%2F11ylmk689g!19sChIJTdNEDjjf2DsRqWs250rHQrw?authuser=0
One Bite Chopda,Fast food restaurant,,,5.0,0,"1st Floor, Laxman Avenue, Yawal Rd, Pankaj Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/One+Bite+Chopda/data=!4m7!3m6!1s0x3bd8df98e827a39d:0xb8c28195391f9bfe!8m2!3d21.2404939!4d75.3023415!16s%2Fg%2F11zjq8c5rr!19sChIJnaMn6Jjf2DsR_psfOZWBwrg?authuser=0
Apni Bekery,Bakery and Cake Shop,+917020181614,+917020181614,4.8,0,"425107, K.G.N Colony, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Apni+Bekery/data=!4m7!3m6!1s0x3bd8dfadf50d42ab:0xfedb506c4e4bc8ec!8m2!3d21.2484903!4d75.3061358!16s%2Fg%2F11dzpmncbk!19sChIJq0IN9a3f2DsR7MhLTmxQ2_4?authuser=0
Wagheshwari Misal House Chopda- Puneri Misal pav,Family restaurant,,,5.0,0,"Yawal Rd, Chopda, Maharashtra 425007",Chopda,Jalgaon,Maharashtra,https://www.instagram.com/wagheshwari_misal_house_chopda?igsh=N3h2bzYzNmJ5cWtq,https://www.google.com/maps/place/Wagheshwari+Misal+House+Chopda-+Puneri+Misal+pav/data=!4m7!3m6!1s0x3bd8df006e2427f3:0x111a5b206ff8b357!8m2!3d21.2416302!4d75.3033447!16s%2Fg%2F11mrs7v03d!19sChIJ8yckbgDf2DsRV7P4byBbGhE?authuser=0
Narendra Restaurant,Restaurant,+919822650876,+919822650876,4.0,0,"67WW+5VR, Azad Chowk Dist, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Narendra+Restaurant/data=!4m7!3m6!1s0x3bd8dfa99c8741af:0xc027945ca0c46d9f!8m2!3d21.2454992!4d75.2971445!16s%2Fg%2F11dxblzm60!19sChIJr0GHnKnf2DsRn23EoFyUJ8A?authuser=0
"The Puneri Fries, Chopda",Fast food restaurant,+919860140596,+919860140596,4.8,0,"Shirpur Rd, Gautam Nagar, Vidya Vihar Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,"https://www.google.com/maps/place/The+Puneri+Fries,+Chopda/data=!4m7!3m6!1s0x3bd8df0069c233bb:0x39547624530021aa!8m2!3d21.2442248!4d75.2930024!16s%2Fg%2F11x13h_tr6!19sChIJuzPCaQDf2DsRqiEAUyR2VDk?authuser=0"
Hotel Krishna Garden (हॉटेल कृष्णा गार्डन),Restaurant,+919921180218,+919921180218,4.1,0,"Shirpur - Chopda Hwy, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Hotel+Krishna+Garden+%28%E0%A4%B9%E0%A5%89%E0%A4%9F%E0%A5%87%E0%A4%B2+%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3%E0%A4%BE+%E0%A4%97%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A4%A8%29/data=!4m7!3m6!1s0x3bd8dfb34a28a08b:0x76f716c54813dca3!8m2!3d21.2463765!4d75.2682401!16s%2Fg%2F11h05x2b8y!19sChIJi6AoSrPf2DsRo9wTSMUW93Y?authuser=0
Taj Hotel,Restaurant,+919284908040,+919284908040,4.2,0,"Shop No, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Taj+Hotel/data=!4m7!3m6!1s0x3bd8df8e02e1bc07:0x7284802c6879c907!8m2!3d21.2449537!4d75.2972682!16s%2Fg%2F11rnbwkk1d!19sChIJB7zhAo7f2DsRB8l5aCyAhHI?authuser=0
CHOPDA SETU,Cafe,+917972566066,+917972566066,,0,"Shop No 1, Talathi Office, Police Station, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/CHOPDA+SETU/data=!4m7!3m6!1s0x3bd8df0c5fe22adb:0xb86f5e9533a2ea50!8m2!3d21.248158!4d75.29603!16s%2Fg%2F11xtx0cbl_!19sChIJ2yriXwzf2DsRUOqiM5Veb7g?authuser=0
V and V CHAI BISKUT,Cafe,+917756970361,+917756970361,,0,"SHOP NO 14, DESHMUKH COMPLEX, Yawal Rd, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/V+and+V+CHAI+BISKUT/data=!4m7!3m6!1s0x3bd8dfa04ed1a253:0x456cc65e37d85ab!8m2!3d21.2384998!4d75.2982227!16s%2Fg%2F11srz157_p!19sChIJU6LRTqDf2DsRq4V942XMVgQ?authuser=0
Hotel Vishwa,Chicken restaurant,+919822616432,+919822616432,4.2,0,"Dharangaon road, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Hotel+Vishwa/data=!4m7!3m6!1s0x3bd8df6db14123d5:0xe35adc24b381a7f2!8m2!3d21.2234314!4d75.2804155!16s%2Fg%2F11c3sxtf4x!19sChIJ1SNBsW3f2DsR8qeBsyTcWuM?authuser=0
Swadisht Idli Sambar,Breakfast restaurant,,,5.0,0,"68R3+C4X, Pankaj Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Swadisht+Idli+Sambar/data=!4m7!3m6!1s0x3bd8df0028bfdcbd:0xc53ffb4172e209f9!8m2!3d21.240939!4d75.30265!16s%2Fg%2F11zcfp839r!19sChIJvdy_KADf2DsR-QnickH7P8U?authuser=0
Foodies Corner,Ice cream shop,+919834157091,+919834157091,4.8,0,"Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Foodies+Corner/data=!4m7!3m6!1s0x3bd8dfde5553dac3:0x954434a8d13a4c10!8m2!3d21.2472081!4d75.3031435!16s%2Fg%2F11vr5kk03f!19sChIJw9pTVd7f2DsREEw60ag0RJU?authuser=0
Restaurent Dhaba Fouji,Indian restaurant,,,4.4,0,"67PH+2R8, MH SH 4, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Restaurent+Dhaba+Fouji/data=!4m7!3m6!1s0x3bd8df001551d0f1:0x3c836920bbad0813!8m2!3d21.2353011!4d75.2797836!16s%2Fg%2F11xmfj2fb7!19sChIJ8dBRFQDf2DsREwituyBpgzw?authuser=0
Shree bholenath icecream Chopda,Ice cream shop,+919468658112,+919468658112,4.5,0,"Gautam Nagar, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://www.instagram.com/shreebholenath_icecream_chopda?igsh=MWZ3bjZuc3JkeWV1eg==,https://www.google.com/maps/place/Shree+bholenath+icecream+Chopda/data=!4m7!3m6!1s0x3bd8df0264b34319:0x763b1727588b12d2!8m2!3d21.243844!4d75.2947542!16s%2Fg%2F11xvnf659v!19sChIJGUOzZALf2DsR0hKLWCcXO3Y?authuser=0
Raj Mix Icecream,Ice cream shop,+919370486678,+919370486678,4.8,0,"Shop No 2, bohra Ln, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Raj+Mix+Icecream/data=!4m7!3m6!1s0x3bd8df129de3085b:0xeda76ec1f0d3efd!8m2!3d21.2465701!4d75.2967531!16s%2Fg%2F11rmwz618d!19sChIJWwjjnRLf2DsR_T4NH-x22g4?authuser=0
Hotel Rohit Restaurant & Bar,Restaurant,+918668985427,+918668985427,4.0,0,"67PR+G93, Dist, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Hotel+Rohit+Restaurant+%26+Bar/data=!4m7!3m6!1s0x3bd8df6dc8a6b17f:0xdf70f2948dc28fb7!8m2!3d21.2362743!4d75.2909213!16s%2Fg%2F11fp85qqk2!19sChIJf7GmyG3f2DsRt4_CjZTycN8?authuser=0
Karsandas Nanji Mithaiwale,Indian sweets shop,+917387389988,+917387389988,4.5,0,"67WW+44P, Karsandas Nanji Mithaiwale, Main Rd, Police Colony, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://www.knmithaiwale.in/,https://www.google.com/maps/place/Karsandas+Nanji+Mithaiwale/data=!4m7!3m6!1s0x3bd8dfaa3119558f:0x782adbceb60b6455!8m2!3d21.2471963!4d75.2965804!16s%2Fg%2F11bzv_hfh1!19sChIJj1UZMarf2DsRVWQLts7bKng?authuser=0
JILANI TEA HAUSE,Coffee shop,+917020246969,+917020246969,,0,"Kargil Chuwk, K.G.N Colony, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/JILANI+TEA+HAUSE/data=!4m7!3m6!1s0x3bd8df5d6467c2c5:0xcb69f74cfdb62083!8m2!3d21.2474648!4d75.3073798!16s%2Fg%2F11pz014b83!19sChIJxcJnZF3f2DsRgyC2_Uz3acs?authuser=0
GAME SQUARE gaming cafe,Video game rental store,,,,0,"67WP+6X8, Shiv Colony, Hatnur Colony, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/GAME+SQUARE+gaming+cafe/data=!4m7!3m6!1s0x3bd8df006b434733:0x520018f2e56966b6!8m2!3d21.2455415!4d75.2874515!16s%2Fg%2F11zglr2vs4!19sChIJM0dDawDf2DsRtmZp5fIYAFI?authuser=0
Abubakar Altaf Bagwaan,Coffee shop,+917774985278,+917774985278,,0,"Shop No1, Main Rd, near Shirpur Road, Gautam Nagar, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Abubakar+Altaf+Bagwaan/data=!4m7!3m6!1s0x3bd8df0ea1eb3e5b:0xd3fa79156dc646bd!8m2!3d21.2439278!4d75.2947446!16s%2Fg%2F11vlyvw6rc!19sChIJWz7roQ7f2DsRvUbGbRV5-tM?authuser=0
The Royal Biryani House,Restaurant,+918625081860,+918625081860,4.3,0,"Shop No 1, Lilawati Sankulan Chopda, Dhanwadi, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/The+Royal+Biryani+House/data=!4m7!3m6!1s0x3bd8dfa48a45dd81:0xe2fabcee1567a5c4!8m2!3d21.2419556!4d75.2987276!16s%2Fg%2F11xtn3l6v3!19sChIJgd1FiqTf2DsRxKVnFe68-uI?authuser=0
Chopda Mava Kulfi,Ice cream shop,+919580827460,+919580827460,5.0,0,"772W+P48 Mava Kulfi, Nagalwadi Rd, Chinch Chowk, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Chopda+Mava+Kulfi/data=!4m7!3m6!1s0x3bd8dfd13cbfc06d:0x9dcb54e8262873fb!8m2!3d21.2517761!4d75.2953188!16s%2Fg%2F11tx5x1w4w!19sChIJbcC_PNHf2DsR-3MoJuhUy50?authuser=0
Baba Xerox,Internet cafe,+919011101076,+919011101076,4.1,0,"Partap Shopping Centre, 06 Maharana, Shivaji Chowk, Gautam Nagar, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,https://babasaionline.wordpress.com/,https://www.google.com/maps/place/Baba+Xerox/data=!4m7!3m6!1s0x3bd8dfaa4697b87f:0x7d997ce2a834d0e8!8m2!3d21.244518!4d75.2944006!16s%2Fg%2F11dx93g97v!19sChIJf7iXRqrf2DsR6NA0qOJ8mX0?authuser=0
Hotel Yoganand,Hotel,+917499015458,+917499015458,4.1,0,"Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Hotel+Yoganand/data=!4m7!3m6!1s0x3bd8df34c2d5672d:0x8ff6b7547d9cbbd9!8m2!3d21.2303232!4d75.2863649!16s%2Fg%2F11rl8_sdp0!19sChIJLWfVwjTf2DsR2bucfVS39o8?authuser=0
HOTEL BHAUSAHEB,Restaurant,+919021107034,+919021107034,5.0,0,"SHOP NO 03, SHIRPUR ROAD, near CHAHARDI, FATA, Akulkheda, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/HOTEL+BHAUSAHEB/data=!4m7!3m6!1s0x3bd8dfd160c6f12b:0xe5cef9bbcaf8c1c8!8m2!3d21.239894!4d75.3013997!16s%2Fg%2F11wnmwyvn7!19sChIJK_HGYNHf2DsRyMH4yrv5zuU?authuser=0
Pizza corner,Fast food restaurant,+919356496650,+919356496650,4.3,0,"Azad chowk, Panchshil Nagar, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Pizza+corner/data=!4m7!3m6!1s0x3bd8df58ab0d02d1:0xfdb95f657ff54146!8m2!3d21.2450923!4d75.2976099!16s%2Fg%2F11k40v0jt0!19sChIJ0QINq1jf2DsRRkH1f2Vfuf0?authuser=0
Tuljai Computer & Xerox,Cafe,,,,0,"Near Tahsil Office, Near Laxmibai Chowk, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Tuljai+Computer+%26+Xerox/data=!4m7!3m6!1s0x3bd8dfaa469185f9:0x830c3bd663b54957!8m2!3d21.2483161!4d75.2963013!16s%2Fg%2F11c0xhs7vx!19sChIJ-YWRRqrf2DsRV0m1Y9Y7DIM?authuser=0
Hotel Shreenath Pride,,+917745812999,+917745812999,4.0,0,"MH SH 4, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,http://www.hotelshreenathpride.com/,https://www.google.com/maps/place/Hotel+Shreenath+Pride/data=!4m10!3m9!1s0x3bd8df09aebd0ab1:0x65ee5a5175283497!5m2!4m1!1i2!8m2!3d21.2366174!4d75.2917364!16s%2Fg%2F11b6d4gf73!19sChIJsQq9rgnf2DsRlzQodVFa7mU?authuser=0
Shital Tea Centre,Restaurant,+919822913439,+919822913439,,0,"Shop No1, near Bus Stand, Gautam Nagar, Panchshil Nagar, Chopda, Jalgaon, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Shital+Tea+Centre/data=!4m7!3m6!1s0x3bd8df2f026f6f8b:0x620345da664324d6!8m2!3d21.2436468!4d75.2955961!16s%2Fg%2F11ss5v5jp2!19sChIJi29vAi_f2DsR1iRDZtpFA2I?authuser=0
Friends Cafe and Paan,Store,+919028156313,+919028156313,,0,"Shop No 1, near Nayara Petrol Pump, K.G.N Colony, Gajanan Co Operative Housing Society, Chopda, Maharashtra 425107",Chopda,Jalgaon,Maharashtra,,https://www.google.com/maps/place/Friends+Cafe+and+Paan/data=!4m7!3m6!1s0x3bd8df208e5bee0f:0x86c6b660b9fa3beb!8m2!3d21.2477478!4d75.3062156!16s%2Fg%2F11rmyng1pn!19sChIJD-5bjiDf2DsR6zv6uWC2xoY?authuser=0
